cps21_ResponseId,cps21_imp_iss,category
R_2OK3sZ7aNJyHGsB,Environnement,Climate Change & Environment
R_3iLxe0mg7QByctm,La dette nationale,"Economy, Jobs & Inflation"
R_ZK4leO5uU5J4uZz,immigration,Immigration & Multiculturalism
R_2c0mzWgM1iVmLfP,"Looking after the old, sick and disabled.",Healthcare & Senior Care
R_XAlCkSCM1Hn7c0F,Les services offerts aux familles,"Social Programs, Education & Childcare"
R_3oYpvjR1BoH4PdL,Environnement,Climate Change & Environment
R_1hLoovV7SNlE355,large deficit,"Economy, Jobs & Inflation"
R_2wHSWs5XqFJ2kpN,For the wealthy people to pay their proper share of taxes,"Economy, Jobs & Inflation"
R_3qU04VaCgzPF3QZ,Economie du pays,"Economy, Jobs & Inflation"
R_p5TjYshLqNusBRD,Dette publique,"Economy, Jobs & Inflation"
R_wTAqITry06adozv,UBI,"Economy, Jobs & Inflation"
R_25uUCbsw54KKSK3,needs to be supplied to each |Canadian equally.,"Social Programs, Education & Childcare"
R_e3vScmopxYmtK49,ECONOMY,"Economy, Jobs & Inflation"
R_2QzBR4RQz6di4o6,Housing,Housing Affordability & Homelessness
R_1oFigbR4lYYk0b8,Don’t have one,No Opinion / Uncertain
R_3FP4nLgfQAjrKvN,Continued proper management of Covid. Affordable housing,COVID-19 Pandemic Response & Preparedness
R_1qecren18ABHHtp,Climate change,Climate Change & Environment
R_sd51Ikwtt5MZKiB,L’économie,"Economy, Jobs & Inflation"
R_3MPBHonTdXhmtLt,Proportional Representation,"Government Leadership, Ethics & Accountability"
R_ONmVyY0sjK1tDb3,health care,Healthcare & Senior Care
R_3snLul7NVEM47bb,Coronavirus and climate change,COVID-19 Pandemic Response & Preparedness
R_0p4Le02t7W4wfkt,Honesty,"Government Leadership, Ethics & Accountability"
R_264RWFFAq4bOqUU,debt,"Economy, Jobs & Inflation"
R_1ow2t4v38RBnoY0,"With the Covid 19, it's not the time for election, a lot of people were not ready","Government Leadership, Ethics & Accountability"
R_3mfP30IDd1uzArN,Poverty and homelessness,Housing Affordability & Homelessness
R_PvAsUR4HjtTUQdH,Centralisation du gouvernement fédérale,"Government Leadership, Ethics & Accountability"
R_3KPxnEigI5Kja6B,Affordable housing,Housing Affordability & Homelessness
R_3s4XEzNLklGuYHI,Jobs,"Economy, Jobs & Inflation"
R_272y1B3CGzhKxQx,Trust,"Government Leadership, Ethics & Accountability"
R_2Sc8jNgkE1Wbm6G,Housing prices,Housing Affordability & Homelessness
R_2YJ3PSZ4rOcsqOp,Cost of living,"Economy, Jobs & Inflation"
R_1DHaAkJXCVmVTLC,Dealing with the pandemic and the naysayers,COVID-19 Pandemic Response & Preparedness
R_2B8RZDiiGg165el,Liberty,"Law, Order & Public Safety"
R_2S05azghvttmYGO,economy,"Economy, Jobs & Inflation"
R_2dhxNG6EkJMlGEm,Lutte aux changements climatiques,Climate Change & Environment
R_2cbJx6JAwOJv5Ws,Economic Recovery,"Economy, Jobs & Inflation"
R_2AXWJ12KYnx8GXI,Getting rid of covid,COVID-19 Pandemic Response & Preparedness
R_2uVd79R8mCFpleF,covid vaxine requirements,COVID-19 Pandemic Response & Preparedness
R_33lMvnXi8mZ2zTM,COVID,COVID-19 Pandemic Response & Preparedness
R_1qeW6xUpYqD8xog,Climate action,Climate Change & Environment
R_1pzALKt8ocg8b4K,Soins de santé,Healthcare & Senior Care
R_1kFzsxoxuZKMxtL,fighting racism,Immigration & Multiculturalism
R_2BhScSOHv7K3lSr,Climate change,Climate Change & Environment
R_28LO09x3kkD9hF6,Economy,"Economy, Jobs & Inflation"
R_1pEVVUrJmkBByhi,OSAP funding and health care,Healthcare & Senior Care
R_1d9XIpIfmdhyaLj,Housing,Housing Affordability & Homelessness
R_OCNmPvp2mDqjTkl,unsure,No Opinion / Uncertain
R_7Ny98ZRGk0jYtDX,"Housing, homelessness, environment",Housing Affordability & Homelessness
R_OveKHAOOLjXHTfX,Que les droits de la personnes soit respecté.,"Law, Order & Public Safety"
R_3mmcs4WG51wWI7O,Mental health,Healthcare & Senior Care
R_1Iy1DiOPqbyFgxC,Housing prices,Housing Affordability & Homelessness
R_7NvJWlysE4kk797,Je ne sais pas,No Opinion / Uncertain
R_XzDUQTZ2Fei3u1P,Economy,"Economy, Jobs & Inflation"
R_1JPgH49B4qDVw2O,That seniors be looked after financially as well as immigrates that come into the country.  Why immigrates should be able to collect more money than a Canadian who has put in their years of work and if and when they get a increase in the old age pension it is pennies on the dollar. Also the Federal Government should be made to pay back the money that they took from Canadian as it was not their money to take.  In whole senior's are not been treated fairly nor are all the people contributing to Canada Pension.,Healthcare & Senior Care
R_wQQsdIldCiqdKrT,Housing,Housing Affordability & Homelessness
