cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_1gdtvecg6KdjaIR,,EN,
R_1gdwiAR2Ktq1fYk,Environnement,FR-CA,Environment
R_1gee3NaC2rAleIj,Housing costs,EN,Housing costs
R_1gefNxwa6CWuKim,health care,EN,health care
R_1gei4JEoZcbaxpq,incompetence of current government,EN,incompetence of current government
R_1ghCEmZFhQIuzm5,crime reduction,EN,crime reduction
R_1ghChQUqNeAEbia,"La conservation de l’environnement, du droit des femmes a l’avortement, et à l’abolition des armes à feu",FR-CA,"The conservation of the environment, the right of women to abortion, and the abolition of firearms"
R_1ghEglIVHgvSvSm,le respect du vote et le résultat,FR-CA,respect for the vote and the result
R_1ghHiRrWXyKazeL,TO KEEP PROMISES RE HEALTH CARE AND BOOSTING THE ECONOMY,EN,TO KEEP PROMISES RE HEALTH CARE AND BOOSTING THE ECONOMY
R_1ghIvAusseoiMFD,COVID/19/// ELECTION CALLED @ GOOD TIMING FOR WHO ? ? ?,EN,COVID/19/// ELECTION CALLED @ GOOD TIMING FOR WHO ? ? ?
R_1ghVhXyeyQx1BZv,Affordable living,EN,Affordable living
R_1ghYQpDLHuFbFqQ,L'ENVIRONNEMENT,FR-CA,ENVIRONMENT
R_1ghaTuIQXalml1G,Environnement,FR-CA,Environment
R_1ghmHR6gHwNmm1C,covid,EN,covid
R_1gi1x55FszB0WRX,Poverty,EN,Poverty
R_1giFjxd6TZcxsu6,Pharmacare,EN,Pharmacare
R_1giKNAvswmQt1OI,Environment,EN,Environment
R_1giKy6x5Mzj8Vbt,MEDICAL CARE,EN,MEDICAL CARE
R_1giR7eR4YtJ0v6f,Taxes and immigration,EN,Taxes and immigration
R_1gj6BiYE0Wqdnbo,Covid policy,EN,Covid policy
R_1gjP3Nmmf8OJ9L7,Environnement,EN,Environnement
R_1gjQ9z5oppFh2ie,deficit,EN,deficit
R_1gjQzbEjPz8Q3PO,Not sure,EN,Not sure
R_1gjUYs5GDUjqIzm,Truth and keeping promises made,EN,Truth and keeping promises made
R_1gjVN8brgy7b0Xh,Climate change,EN,Climate change
R_1gjeCYs4R1xI2Qh,Environnement,FR-CA,Environment
R_1gjex3N1RrKnfaV,the budget,EN,the budget
R_1gjfYyNyNNbbYMD,POVERTY,EN,POVERTY
R_1gkDXTtHIGCP0yk,taxes,EN,taxes
R_1gkapNpfUMxEnuC,Environnement,FR-CA,Environment
R_1gnCSActT8pMCOP,l'environnement,FR-CA,Environment
R_1gni0QAylcS6pKG,Economie,FR-CA,Economy
R_1gnkRGTEJBripXj,Constitutional rights,EN,Constitutional rights
R_1go025uzTJLW3cE,Budget,EN,Budget
R_1go5AEItbzY09Bi,Climate change,EN,Climate change
R_1go9Y5jMCuWS1FG,La possibilité davoir un gouvernement majoritaire,FR-CA,The possibility of having a majority government
R_1goHDNYBpGz9OHF,"employment, housing",EN,"employment, housing"
R_1goIPVPWiP4DBVx,La sante,FR-CA,Health
R_1goMuhCxijInmTv,Health care,EN,Health care
R_1goRO4JANLVdHjL,overcoming Covid,EN,overcoming Covid
R_1gooHh6nZBX6sDw,L'économie,FR-CA,The economy
R_1goq20aWPMDIKQf,Freedom & Corruption; stopping the Great Reset and Globalist Agenda,EN,Freedom & Corruption; stopping the Great Reset and Globalist Agenda
R_1govVta23UEXlDq,la santé,FR-CA,Health
R_1gp70ga1eu3aSZT,Free Post Secondary Education,EN,Free Post Secondary Education
R_1gpBaGxoqJYo5Lj,Federal healthcare coverage plan,EN,Federal healthcare coverage plan
R_1gpELTgcsiryAdO,Government corruption,EN,Government corruption
R_1gpRpvq8ymAX1EO,Get rid of liberals and especially sockboy,EN,Get rid of liberals and especially sockboy
R_1gpRu1tnRXvBnXD,environnement,FR-CA,environment
R_1gpzD1hTr9xucpA,Healthcare,EN,Healthcare
R_1gq24wpifhst0Xa,Cost of living,EN,Cost of living
R_1gtGAEwhhwDtHT2,Education reform,EN,Education reform
R_1gtkIGmZqmkIWby,Environnement,FR-CA,Environment
R_1gu3ITLnvbPPSVG,Economy,EN,Economy
R_1guLZMNSqzkGUYy,Santé,FR-CA,Health
R_1guNGBseOHeqUUz,Tout,FR-CA,Everything
R_1guXneimFvbufLL,L'économie,FR-CA,The economy
R_1gurv9X68WAhRUF,Less taxes,EN,Less taxes
R_1guyF3q2EqjeYLz,I don’t know,EN,I don’t know
R_1gvA5pzx2e9EBNZ, AFFORDABLE HOUSING,EN, AFFORDABLE HOUSING
R_1gvVKHo54ggEpfP,Health care,EN,Health care
R_1gvYbLMZE7uNkrP,The economy,EN,The economy
R_1gvkMsOehk4szXo,economy,EN,economy
R_1gw0pFj1I18KZsZ,bien servir les canadiens,FR-CA,serving Canadians well
R_1gwERozeZOuc8oy,soin en santé,FR-CA,health care
R_1gwId574CB5WXqr,economie et autonomie de la province,FR-CA,economy and autonomy of the province
R_1gwNxjAqtGchkq0,Economy,EN,Economy
R_1gwiZEfcBQLLmYe,Changements climatiques,FR-CA,Climate change
R_1gwrKQn8pUprsGL,Réouverture sécuritaire du pays post Covid,FR-CA,Security reopening of post Covid country
R_1gwsYHVVAhP1Jkr,Indigenous affairs,EN,Indigenous affairs
R_1gzrEQyMaHVH9UY,Healthcare,EN,Healthcare
R_1hA39t9VPjRnyrN,Cost of living,EN,Cost of living
R_1hA3UYbZUIeo6ty,Éducation,FR-CA,Education
R_1hAK6taYG0HUlJy,corporate social responsibility,EN,corporate social responsibility
R_1hANcGNJn2RH4YH,Logement et pénurie de main d'œuvre,FR-CA,Housing and labour shortages
R_1hAR3VHW2Ce1TqJ,Better Health System,EN,Better Health System
R_1hAc4gP90fXD977,covid,EN,covid
R_1hAmoL0ksrQb1Uj,Affordability,EN,Affordability
R_1hAyn6ErFKBG1u8,Santé,FR-CA,Health
R_1hAzssHscvd9kOY,COVID 19,EN,COVID 19
R_1hBaeWcgo8eR2Vo,Affordability,EN,Affordability
R_1hBbO9VBrHvnfQO,Healthcare,EN,Healthcare
R_1hBfWHCz9eQ3h1p,Housing prices,EN,Housing prices
R_1hBkntI98xApaNv,I hope Liberty team will help us lower the daycare cost,EN,I hope Liberty team will help us lower the daycare cost
R_1hDXjg2KJpKvhhM,Safety from current Covid-19 dilemma,EN,Safety from current Covid-19 dilemma
R_1hE8tabdQyCfocX,"Childcare, climate control, covid",EN,"Childcare, climate control, covid"
R_1hEAsQOaDE7dzWO,Climate change,EN,Climate change
R_1hEJOpZLzHr2Be1,Covid 19 management,EN,Covid 19 management
R_1hEa3IssHNmyq4x,le climat,FR-CA,Climate
R_1hEggj7Ff99Mi7l,reelect trudeau,EN,reelect trudeau
R_1hF41LAooQqsisp,Transparence,FR-CA,Transparency
R_1hFEIgWtq6jpJub,Covid,EN,Covid
R_1hFEfdt4VFtQgyo,Economy,EN,Economy
R_1hFIzjWlTGVKR4W,getting rif of Trudeau,EN,getting rif of Trudeau
R_1hFKdLm2BQstrEw,Dire la vérité et non juste des fausses promesses,FR-CA,To tell the truth and not just false promises
R_1hFNx13vuY2ZIGD,health,EN,health
R_1hFQ4Gf7L0c6o7b,Mental health accessibility to affordable counseling,EN,Mental health accessibility to affordable counseling
R_1hFkleqwWn9neFB,Fiscal responsibility,EN,Fiscal responsibility
R_1hFsyczXfPkvcb3,Climate change and indigenous issues,EN,Climate change and indigenous issues
R_1hG1Q9beHIlx036,climate change / emergency,EN,climate change / emergency
R_1hGABZT5FTNzy9J,More effective and strict Covid control,EN,More effective and strict Covid control
R_1hGCCM6VZzlffHv,The biggest issue is the amount of money spent on this propaganda and lies.,EN,The biggest issue is the amount of money spent on this propaganda and lies.
R_1hGN3lXWYRP7H5e,The economy,EN,The economy
R_1hGN4Yb33jmgs2f,Global warming,EN,Global warming
R_1hGVHdWZtj8DpdC,The Climate Crisis,EN,The Climate Crisis
R_1hGdRMHWdAAPmeb,health care and taxes,EN,health care and taxes
R_1hGeKfnGJjamnSV,"For the liberals to stop spending money outside of our country and start spending on Canadians, i.e. health care, homeless, hospitals, eye care, affordable housing, etc.",EN,"For the liberals to stop spending money outside of our country and start spending on Canadians, i.e. health care, homeless, hospitals, eye care, affordable housing, etc."
R_1hGwXs0W0H9YT9U,L’économie,FR-CA,Economy
R_1hHcQrfLYTUPq31,économie,FR-CA,economy
R_1hHhSI7UfCr20RI,ETHICS AND CORRUPTION,EN,ETHICS AND CORRUPTION
R_1hJYLnB4BxmGVxt,"To elect a different party, besides. Liberal. to govern",EN,"To elect a different party, besides. Liberal. to govern"
R_1hK1A78etPKJRTZ,Langues officielles,FR-CA,Official languages
R_1hKG1h400rpNjxQ,Cost of Living,EN,Cost of Living
R_1hKZIvWSUAOZBPt,covid-19,EN,covid-19
R_1hKdjjaP9nSXO7Q,Economy,EN,Economy
R_1hLNhMU11imHhnb,Rising prices of house rents and house prices,EN,Rising prices of house rents and house prices
R_1hLU2b4zF1X24Ji,incredible debt due to over spending by the current leadership,EN,incredible debt due to over spending by the current leadership
R_1hLoovV7SNlE355,large deficit,EN,large deficit
R_1hM4qfHEyKJrZt9,Economy,EN,Economy
R_1hMSrrQT4pjhlGP,Honestly,EN,Honestly
R_1hMZJS7JUgSRGwI,The pandemic,EN,The pandemic
R_1hMa5z8QZ5M6GRU,Climate change,EN,Climate change
R_1hMbIIE1TOvKoq3,Déficit,FR-CA,Deficit
R_1hMuV6zvI8LS5Fq,Better leadership,EN,Better leadership
R_1hMv5e109y4zoDZ,Affordable housing,EN,Affordable housing
R_1hMxKqjVru4bjJ8,Affordable living,EN,Affordable living
R_1hN2MNRokLxHjea,leaders,EN,leaders
R_1hNlC7gtspf5Na0,Seniors affordability to live,EN,Seniors affordability to live
R_1hNoPczSzksFhJb,PANDEMIC,EN,PANDEMIC
R_1hNqp81ie3uALUZ,Covid 19,EN,Covid 19
R_1hPQpYKSNdhpoFi,pandemic,EN,pandemic
R_1hPSrQ0zEmxYvLT,Climate Change,EN,Climate Change
R_1hPZEP8i6pn9rhB,Système de santé,FR-CA,Health system
R_1hQ2HcRPURuRj6t,The way our leader spends money,EN,The way our leader spends money
R_1hQBZ8MxmE1e2gz,Improving small business economy,EN,Improving small business economy
R_1hQIFbrxgjbbLeY,"Attempts to dismantle democratic freedoms, specifically free speech",EN,"Attempts to dismantle democratic freedoms, specifically free speech"
R_1hQdR97Ep4al5YS,Tax the rich,EN,Tax the rich
R_1hR1SbyZhqGNp29,Le post-pandémie,FR-CA,Post-pandemic
R_1hRO5CE9qVdDHNk,Doing better for the Seniors,EN,Doing better for the Seniors
R_1hROybjpxlmMDFg,Climate change,EN,Climate change
R_1hRPQalYDXLJJx0,Covid 19,EN,Covid 19
R_1hRQbaQuDjcKjKv,Health Care,EN,Health Care
R_1hRT08pQYYpY5oQ,Vaccine Passports,EN,Vaccine Passports
R_1hRW39z5Yl0Ik1N,improment in public health center,EN,improment in public health center
R_1hRWW21lC0C8iV9,La covid,FR-CA,Covid
R_1hRwxmPOXuFmViU,Pcu,FR-CA,Pcu
R_1hSFlOAyhGiInAp,Se débarrassé de trudeau parce quil est néfaste pour le pays,FR-CA,Getting rid of the trudeau because it is harmful to the country
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration",EN,"Taxes, Covid, Immigration"
R_1hSSjQrQfeM0Hpy,National unity,EN,National unity
R_1hSSomuMGsBtiYE,Post COVID-19 economy,EN,Post COVID-19 economy
R_1hSSzN5fPhz3zhz,pandemic,EN,pandemic
R_1hSVgPC8vaTzjp5,the ongoing covid crisis,EN,the ongoing covid crisis
R_1hSWpj3hhcyMpJS,Coved-19,EN,Coved-19
R_1hSa6wdF115TUmS,The Economy,EN,The Economy
R_1hSboY39qnQ3fPf,Covid,EN,Covid
R_1hSde2jq5bGircs,Housing,EN,Housing
R_1hSk7efldcRnjkP,Housing market,EN,Housing market
R_1hT43fbqFbGLLsv,climate change and the environment,EN,climate change and the environment
R_1hTlGWG1wYI6unF,Mandatory vaccines,EN,Mandatory vaccines
R_1hTlRP8xrwWQIUP,Cost of living,EN,Cost of living
R_1hToIkm2bJsSYR7,"all politicans tell you what you want to hear, and do nothing later",EN,"all politicans tell you what you want to hear, and do nothing later"
R_1hVXH6wESQRZ4Gn,How the government is monitioring and handling climate change,EN,How the government is monitioring and handling climate change
R_1hW1VerIk5k587v,Environnement,FR-CA,Environment
R_1hW3TqaaVKNichi,Economy,EN,Economy
R_1hWlnMrbvKhvsqS,Inequality and housing crisis,EN,Inequality and housing crisis
R_1hWr51WGKPYPbpw,climat,FR-CA,climate
R_1hX3sLeyZiIKKhW,Health Care,EN,Health Care
R_1hX5LB6ykMGMt8e,GETTING THE ECONOMY BACK,EN,GETTING THE ECONOMY BACK
R_1hXQMYIziX7nEDn,taxes,EN,taxes
R_1hXY2JSPXw6ihn7,Nationalisme,FR-CA,Nationalism
R_1hXcacs8zOgrZnG,End all vaccine passport mandates as well as all other covid related mandates.,EN,End all vaccine passport mandates as well as all other covid related mandates.
R_1hXfcOdGEGDC68D,SANTÉ,FR-CA,HEALTH
R_1hYAePfLPonOpxN,Climate Change,EN,Climate Change
R_1hYAgyjelWDoCIC,HOW TO REGAIN ECONOMIC GROWTH,EN,HOW TO REGAIN ECONOMIC GROWTH
R_1hYFdwH1LabuErj,economy,EN,economy
R_1hYGGAvUHTB6BVf,Inflation,EN,Inflation
R_1hYHAfK6rOiHM1z,"Affordable housing for younger generations. Whether renting or buying, wages do NOT at all match living costs.",EN,"Affordable housing for younger generations. Whether renting or buying, wages do NOT at all match living costs."
R_1hYhlu5CuekwXvI,Health Care and higher wages for Personal Support Workers,EN,Health Care and higher wages for Personal Support Workers
R_1hYnmcGH9AUcChp,BUDJET,FR-CA,BUDGET
R_1hZ6lByPB81XZDb,Indigenous rights and reconciliation,EN,Indigenous rights and reconciliation
R_1hZite1a0Vl369b,covid response,EN,covid response
R_1hZlmgolNELrzrw,economy,EN,economy
R_1hZvmsAH9RdTw0b,That is shouldn't have been called at this time..... and COVID,EN,That is shouldn't have been called at this time..... and COVID
R_1hxK7QlhnnvCuJJ,Controlling the pandemic effects,EN,Controlling the pandemic effects
R_1hxPWkKe8zUHeiB,The rising cost of living,EN,The rising cost of living
R_1hyBXJUduyWNumE,climate change,EN,climate change
R_1hyBbf83GkZu7FE,Économie,FR-CA,Economy
R_1hyTyZxBMSS4Qhf,Environnement,EN,Environnement
R_1hyVsHpf92C4Skq,health care,EN,health care
R_1hyYFQjrp9VYw5V,La santé,FR-CA,Health
R_1hyd6KrcEb3GEE4,Wealth distribution,EN,Wealth distribution
R_1hyxXAXAtoNIDcm,The increase in the cost of living,EN,The increase in the cost of living
R_1hzBEpCif3CDRwQ,Economie,FR-CA,Economy
R_1hzIHRTvVc1PQ0X,Voting out the Liberal party,EN,Voting out the Liberal party
R_1hzJ26MMy3D5GZe,see Greens get in,EN,see Greens get in
R_1hzKs36TL11sZqH,l'emploi,FR-CA,Employment
R_1hzhuLC7UgPVChK,Économie,FR-CA,Economy
R_1hzj4fS4cF2ZSi4,Covid-19,EN,Covid-19
R_1hzjSnHehDMv1kc,Covid regulations,EN,Covid regulations
R_1hzkeB2wW3mwKMt,Election inutile le gouvernement meme minoritaire fonctionnait bien,FR-CA,Unnecessary election the even minority government functioned well
R_1hzn5rt0olIMOEU,Unemployment,EN,Unemployment
R_1hznhVqtXWOY013,Je ne sais pas,FR-CA,I don't know.
R_1i25mqmuapTSp7i,Pandemie,FR-CA,Pandemiary
R_1i2IXTUlJfwxvlw,Climate crisis,EN,Climate crisis
R_1i2PW7YkCOQ80dQ,Covid 19 mandatory vaccination,EN,Covid 19 mandatory vaccination
R_1i2lbLaFso9Zo7L,Le réseau de la santé,FR-CA,The health network
R_1i2tvvg1eFUE3fT,Post-COVID,FR-CA,Post-COVID
R_1i38ttauBq469mP,Control and recover from Covid,EN,Control and recover from Covid
R_1i3AMaWKz2MyAbW,Retirement preparation and Seniors Tax,EN,Retirement preparation and Seniors Tax
R_1i3camEBH4konRf,Equality,EN,Equality
R_1i3d8FjF4yoJjdH,no low cost housing,EN,no low cost housing
R_1i3hTSmJm7H3BOy,"Government overreach, censorship, and the destruction of Canadian society using the pandemic as an excuse.",EN,"Government overreach, censorship, and the destruction of Canadian society using the pandemic as an excuse."
R_1i3ydBgcSE8V4R8,Keeping the conservatives from winning.,EN,Keeping the conservatives from winning.
R_1i4BCvD0Dg4uhzL,"MP are not responsible to the electors.  They lie to get in, and then ignore any correspondence to them",EN,"MP are not responsible to the electors.  They lie to get in, and then ignore any correspondence to them"
R_1i4D9GyeDTeAmCb,Indigenous Reconcilliation,EN,Indigenous Reconcilliation
R_1i531UMRgv9tj1H,"Housing prices, education and my freedoms",EN,"Housing prices, education and my freedoms"
R_1i58bFHQFjIwDQg,Healthcare,EN,Healthcare
R_1i58fDVCFDMYaAp,People’s freedom,EN,People’s freedom
R_1i5lqKETuwR5Bli,Healthcare,EN,Healthcare
R_1i5mO67igZlfF8N,Healthcare,EN,Healthcare
R_1i5nIRpmbarDSf7,"Honesty, that the person elected is true to his/her words, & in the best interest in Canadians",EN,"Honesty, that the person elected is true to his/her words, & in the best interest in Canadians"
R_1i7ZmMLb1ZkLd7v,Continued investment in public programs,EN,Continued investment in public programs
R_1i8JpxOUB1VBD9L,Gang violance,EN,Gang violance
R_1i8WzZqWr2DOaWv,Santé,FR-CA,Health
R_1i8oYVRx9jzBmpm,le choix personnel pour le vaccin,FR-CA,personal choice for the vaccine
R_1i8r9VzpfnYbOup,redémarrer l’économie,FR-CA,Restarting the Economy
R_1i8x1pFHunQLMNR,universal health care,EN,universal health care
R_1i8xHuyx9rbqqDB,Good governance,EN,Good governance
R_1i8xS7HARDetapR,Dunno,EN,Dunno
R_1i97ygZkf1eBoYN,la prospérité du Québec,FR-CA,Quebec's Prosperity
R_1i9Zan3pQ1RXtcb,Economie,FR-CA,Economy
R_1ia0YGD8kf9lZbC,Inégalités,FR-CA,Inequalities
R_1ia0rmJ6JX99vYI,Lowering taxes,EN,Lowering taxes
R_1ia56bz3KITD5JO,HEALTHCARE,EN,HEALTHCARE
R_1iaHxtVYEAcWEb9,climate change,EN,climate change
R_1iaLWaUbFrWyi8n,Addressing climate change,EN,Addressing climate change
R_1ib20kJ10rb3HC2,Healthcare,EN,Healthcare
R_1ib2bILH3FzK2R5,L'ENVIRONNEMENT,FR-CA,ENVIRONMENT
R_1ib51pbGsUSgRrq,corruption in government contract awarding and outrageous spending,EN,corruption in government contract awarding and outrageous spending
R_1ib5Vwt8Al2piPU,Senior welfare,EN,Senior welfare
R_1ieBPyVH3hqLaxb,,EN,
R_1ieCd1dEmjvkBy8,climate crisis,EN,climate crisis
R_1iePcLgKD9jzJRT,Allowing to many uneducated non skilled immigrants.,EN,Allowing to many uneducated non skilled immigrants.
R_1ieQW9MrW7m4H6y,Everthing,EN,Everthing
R_1ieSiAAU90w8ada,Climate change,EN,Climate change
R_1ieYsQnjbMqPsTc,Convid,EN,Convid
R_1iecgnNDUpNFA0R,La relance économique,FR-CA,Economic recovery
R_1iedD4kxidCMDmM,Santé,FR-CA,Health
R_1if9wjNTqmLAVcO,Economy,EN,Economy
R_1ifAqZMynd9A47e,The economy,EN,The economy
R_1ifEYOveldH4apY,Affordable housing,EN,Affordable housing
R_1ifJ1oA6ILukXQW,Idk,FR-CA,Idk
R_1ifJ6FVSl1osrSg,Health care,EN,Health care
R_1ifKmHOOT7Mcf0g,Climate change,EN,Climate change
R_1ifUCL8oCgPbirS,Relance économique,FR-CA,Economic recovery
R_1ifagM1BzEB6F0q,-99,FR-CA,-99
R_1ifx0GKpQ1ND3P4,Housing affordability,EN,Housing affordability
R_1ig3BEMQJO8pojO,COVID-19,FR-CA,VOCID-19
R_1igH2WgxKCHNBqF,Getting a leader who can manage vaccinations,EN,Getting a leader who can manage vaccinations
R_1igL4dv9dCr2ncx,La continuité des services va le niveau d’endettement,FR-CA,Continuity of services goes to the level of debt
R_1igLkamumLdmX5b,La santé,FR-CA,Health
R_1igMOUKxAABfbq0,Not allowing vaccine passports and removing vaccine work mandates,EN,Not allowing vaccine passports and removing vaccine work mandates
R_1igkZC1XTeSnfbW,getting rid of Truedough,EN,getting rid of Truedough
R_1ignVpLHy7YAypH,getting the debit under control,EN,getting the debit under control
R_1igsbyBbQA15KVZ,Economy,EN,Economy
R_1ih7s05ht2jYa7W,Environmental,EN,Environmental
R_1ihCjvCQGjwgdzY,The environment and climate change,EN,The environment and climate change
R_1iheMPauYXGDNX0,Accountability,EN,Accountability
R_1ihejnyxUZwJ82H,COVID-19 rates of vacccinations,EN,COVID-19 rates of vacccinations
R_1ikCgKr5HK7wHRo,Transfert du fédéral au provincial pour la santé,FR-CA,Federal to Provincial Health Transfer
R_1ikTGezkXno9Eje,Covid-19 response,EN,Covid-19 response
R_1ikarPRwBlwIx33,Rising prices with everything,EN,Rising prices with everything
R_1ikrqjpC9fDvp5o,The national debt.,EN,The national debt.
R_1iktAVRJEYw1C5D,Health care,EN,Health care
R_1ile9pNn9LgCpV2,La COVID,FR-CA,VOCID
R_1iliOwITb9owRd0,People truning violent on our pieree truadaeu in recent demonstration,EN,People truning violent on our pieree truadaeu in recent demonstration
R_1im7ATp6XtongjX,Économie,FR-CA,Economy
R_1imLGUtq7UxHXPC,Climate change,EN,Climate change
R_1imMuTp1kC6qEPe,Le réchauffement climatique,FR-CA,Global warming
R_1imNWGM9QcWVWo2,Some shortcomings in the way the pandemic and related issues were handled,EN,Some shortcomings in the way the pandemic and related issues were handled
R_1imVi3MnRjxrv81,Le Québec,FR-CA,Quebec
R_1imVzf00TK2UXrv,La place du Québec dans le Canada,FR-CA,Quebec's Place in Canada
R_1imb5dSTz2LihIt,being honest,EN,being honest
R_1imo4Qq0rJlltO8,protection du français,FR-CA,protection of French
R_1imwMxmqTiWzdVs,Recovery from the pandemic debt,EN,Recovery from the pandemic debt
R_1ineGAoEJ8pQ0CC,l'honnête,FR-CA,the honest
R_1inxRB8jEBs0Fya,Affordability,EN,Affordability
R_1inzlGntLk6OQRX,housing security,EN,housing security
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,EN,Getting Trudeau out of office
R_1iqRJtDORDMReNT,That conservative party not have a majority,EN,That conservative party not have a majority
R_1iqbVdFGi0ymHC4,Economy,EN,Economy
R_1iqdcuPoUD14Ouz,Health care,EN,Health care
R_1ir3RNGegtKMXqK,"Social justice issues like housing, anti-racism, TRC",EN,"Social justice issues like housing, anti-racism, TRC"
R_1irLqF2OSAMvsrZ,Immigration,EN,Immigration
R_1irkTydfqIhwhIT,The economy,EN,The economy
R_1irpOI8euRYo9n4,Economy,EN,Economy
R_1is1e8psDBA4mZI,COVID 19,EN,COVID 19
R_1isqzWRbXrngmQA,Environment,EN,Environment
R_1it8S1oJ6R6tnVc,Aucune,FR-CA,None
R_1it9IrZO6wcIqkv,health issues,EN,health issues
R_1itBXk0mif0zWm8,Covid 19,EN,Covid 19
R_1itfsZ7bOurdqeJ,The pm lying and calling down the others,EN,The pm lying and calling down the others
R_1itfu9L2IV3cY7e,Majority,EN,Majority
R_1j6A1lukU3rNOLA,Health care and housing,EN,Health care and housing
R_1j6V41JXW2pVIfa,COVID,EN,COVID
R_1j6vPCi0hSSx81y,Child care,EN,Child care
R_1j7IUleSWavy783,to keep things moving along,EN,to keep things moving along
R_1j7YjwQ5bA7Ca7Y,Promises being made but once elected not being implemented,EN,Promises being made but once elected not being implemented
R_1j7ZKlLooOXZbIt,environnement,FR-CA,environment
R_1j8NGTBNKc8R4a0,Childcare,EN,Childcare
R_1j8ScIa1swCR5DT,Afforadable housing,EN,Afforadable housing
R_1j8StIBl0hlQ0ZL,economy,EN,economy
R_1j8iSwg4LEaJES7,ECONOMY,EN,ECONOMY
R_1j8l4BcX6f1iNfN,"Recovery from Covid, Health Care",EN,"Recovery from Covid, Health Care"
R_1j8qTY1OTM4b3ha,Rights and freedoms,EN,Rights and freedoms
R_1j8uMV2C9bN8qMI,economy,EN,economy
R_1j96W7Vn9w1rDJ7,La baisse de la dette.,FR-CA,The decline in debt.
R_1j9AFuH0DlcoXi9,A descent into totalitarianism,EN,A descent into totalitarianism
R_1j9CLknQKNc9loG,Environment,FR-CA,Environment
R_1j9Qp5czkTYoUuV,Covid measures,EN,Covid measures
R_1j9Z3diO1u1hI77,Nothing,EN,Nothing
R_1j9g3BeBLEg5ChT,Health Care,EN,Health Care
R_1j9ugMEUiwU5APH,VACCINE,EN,VACCINE
R_1jAHD7h4pqjFtkk,"Trudeau, he needs to go!",EN,"Trudeau, he needs to go!"
R_1jAJQhBL3iNcwtX,-99,EN,-99
R_1jAJi6gsrXd5RFq,good results,EN,good results
R_1jAL1M1WFEW2itO,Rechaufement clkmatique,FR-CA,Clkmatic retreading
R_1jAMnmTSbhAqo29,How they will deal with covid,EN,How they will deal with covid
R_1jAP2TWPrzntn33,Unemployment,EN,Unemployment
R_1jAP9mzjwzlXXyJ,Provincial minister taking sides,EN,Provincial minister taking sides
R_1jBOZD7PWUNePvE,écologie,FR-CA,Ecology
R_1jBQ9VG3eNDsKfz,Économie et environnement,FR-CA,Economy and environment
R_1jBQDFueMcpy6fP,Healthcare.,EN,Healthcare.
R_1jBdRz9IsKX7yQ4,healthcare,EN,healthcare
R_1jBei2BrvM1aTID,La dette et la suite pour la situation économique,FR-CA,Debt and the follow-up to the economic situation
R_1jBvpnxGZZXLFd9,covid,FR-CA,covid
R_1jCCQOC7oceqKEy,Covid,EN,Covid
R_1jCDVP3lUIWpP1z,Removal of the Gun Ban,EN,Removal of the Gun Ban
R_1jCFBYnJ01RRAHJ,No strong feeling,EN,No strong feeling
R_1jCYeBEiLJlWkkk,Economy,EN,Economy
R_1jCeLxEX7zXJAWV,Le changement climatique,FR-CA,Climate change
R_1jCkOqc9NNLgIir,Health Care,EN,Health Care
R_1jD4RaeYTljOjZz,Economie,FR-CA,Economy
R_1jDKAb8Tcl21zQj,immigration,EN,immigration
R_1jDhd5HRuNz18xO,getting rid of the lying cheating Liberals and Trudeau,EN,getting rid of the lying cheating Liberals and Trudeau
R_1jDhuuoaxSQEdV8,Nothing,EN,Nothing
R_1jE2t4xv7yomnsG,USING our own natural resources instead of importing from other countries,EN,USING our own natural resources instead of importing from other countries
R_1jE8HrEGF4LuagJ,Rising cost of living,EN,Rising cost of living
R_1jE9t5tzdTpyj7I,COVID recovery,EN,COVID recovery
R_1jEaNvcmSJU1dOb,health care,EN,health care
R_1jEd1cpa7QcWG5x,Housing,EN,Housing
R_1jGGNZdSlPFQA6F,The pandemic,EN,The pandemic
R_1jGPAMyQsMOh7sC,Free and fair elections,EN,Free and fair elections
R_1jHDZm33TMnCILW,affordable living,EN,affordable living
R_1jHOKylsvwnf1GS,covid,EN,covid
R_1jHRTeNN7rQLNMa,national debt and deficits,EN,national debt and deficits
R_1jHXAk49XxOiQlt,corruption in government,EN,corruption in government
R_1jHXnyjgr9q7NDi,Budget,EN,Budget
R_1jHa4d8ZA3TJRKM,Covid,EN,Covid
R_1jHaT3o2Cq8jrqd,Na,EN,Na
R_1jHe6fdOjBEyIxy,IMMIGRATION & HOMELESSNESS,EN,IMMIGRATION & HOMELESSNESS
R_1jHgZwmzYFtZYGK,Ensuring less money goes outside our country when the whole country is in such dire straits,EN,Ensuring less money goes outside our country when the whole country is in such dire straits
R_1jHhgBgz5Z4OitO,health care,EN,health care
R_1jHrgA9gkc8Znd8,Le respect des juridictions,FR-CA,Respect for the courts
R_1jIFxwJDfrsMczq,Finance,FR-CA,Finance
R_1jIGmJuIf2yJNuN,Economy,EN,Economy
R_1jIJtVUUDyk0DXK,respect des compétences provinciales,FR-CA,respect for provincial jurisdiction
R_1jIjLEGJ3AmFmg6,Doug Ford isn’t my favorite,EN,Doug Ford isn’t my favorite
